frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
58,1773244917.657636,2026-03-11T16:01:57.657636+00:00,403,1773244917591.499,rgb/frame_000058.jpg
59,1773244917.684918,2026-03-11T16:01:57.684918+00:00,404,1773244917624.875,rgb/frame_000059.jpg
60,1773244917.730563,2026-03-11T16:01:57.730563+00:00,405,1773244917658.250,rgb/frame_000060.jpg
61,1773244917.751870,2026-03-11T16:01:57.751870+00:00,406,1773244917691.625,rgb/frame_000061.jpg
62,1773244917.786787,2026-03-11T16:01:57.786787+00:00,407,1773244917725.000,rgb/frame_000062.jpg
63,1773244917.826267,2026-03-11T16:01:57.826267+00:00,408,1773244917758.375,rgb/frame_000063.jpg
64,1773244917.852059,2026-03-11T16:01:57.852059+00:00,409,1773244917791.750,rgb/frame_000064.jpg
65,1773244917.889649,2026-03-11T16:01:57.889649+00:00,410,1773244917825.125,rgb/frame_000065.jpg
66,1773244917.919688,2026-03-11T16:01:57.919688+00:00,411,1773244917858.500,rgb/frame_000066.jpg
67,1773244917.952637,2026-03-11T16:01:57.952637+00:00,412,1773244917891.875,rgb/frame_000067.jpg
68,1773244917.994068,2026-03-11T16:01:57.994068+00:00,413,1773244917925.251,rgb/frame_000068.jpg
69,1773244918.019596,2026-03-11T16:01:58.019596+00:00,414,1773244917958.626,rgb/frame_000069.jpg
70,1773244918.058368,2026-03-11T16:01:58.058368+00:00,415,1773244917992.001,rgb/frame_000070.jpg
71,1773244918.085513,2026-03-11T16:01:58.085513+00:00,416,1773244918025.377,rgb/frame_000071.jpg
72,1773244918.125650,2026-03-11T16:01:58.125650+00:00,417,1773244918058.752,rgb/frame_000072.jpg
73,1773244918.152284,2026-03-11T16:01:58.152284+00:00,418,1773244918092.128,rgb/frame_000073.jpg
74,1773244918.185914,2026-03-11T16:01:58.185914+00:00,419,1773244918125.503,rgb/frame_000074.jpg
75,1773244918.225582,2026-03-11T16:01:58.225582+00:00,420,1773244918158.879,rgb/frame_000075.jpg
76,1773244918.252684,2026-03-11T16:01:58.252684+00:00,421,1773244918192.253,rgb/frame_000076.jpg
77,1773244918.291321,2026-03-11T16:01:58.291321+00:00,422,1773244918225.628,rgb/frame_000077.jpg
78,1773244918.319371,2026-03-11T16:01:58.319371+00:00,423,1773244918259.003,rgb/frame_000078.jpg
79,1773244918.352173,2026-03-11T16:01:58.352173+00:00,424,1773244918292.378,rgb/frame_000079.jpg
80,1773244918.391699,2026-03-11T16:01:58.391699+00:00,425,1773244918325.753,rgb/frame_000080.jpg
81,1773244918.418731,2026-03-11T16:01:58.418731+00:00,426,1773244918359.129,rgb/frame_000081.jpg
82,1773244918.458225,2026-03-11T16:01:58.458225+00:00,427,1773244918392.504,rgb/frame_000082.jpg
83,1773244918.486701,2026-03-11T16:01:58.486701+00:00,428,1773244918425.879,rgb/frame_000083.jpg
84,1773244918.526012,2026-03-11T16:01:58.526012+00:00,429,1773244918459.254,rgb/frame_000084.jpg
85,1773244918.551744,2026-03-11T16:01:58.551744+00:00,430,1773244918492.629,rgb/frame_000085.jpg
86,1773244918.587557,2026-03-11T16:01:58.587557+00:00,431,1773244918526.004,rgb/frame_000086.jpg
87,1773244918.625217,2026-03-11T16:01:58.625217+00:00,432,1773244918559.379,rgb/frame_000087.jpg
88,1773244918.652288,2026-03-11T16:01:58.652288+00:00,433,1773244918592.754,rgb/frame_000088.jpg
89,1773244918.692925,2026-03-11T16:01:58.692925+00:00,434,1773244918626.129,rgb/frame_000089.jpg
90,1773244918.719683,2026-03-11T16:01:58.719683+00:00,435,1773244918659.504,rgb/frame_000090.jpg
91,1773244918.752523,2026-03-11T16:01:58.752523+00:00,436,1773244918692.879,rgb/frame_000091.jpg
92,1773244918.793052,2026-03-11T16:01:58.793052+00:00,437,1773244918726.254,rgb/frame_000092.jpg
93,1773244918.819717,2026-03-11T16:01:58.819717+00:00,438,1773244918759.629,rgb/frame_000093.jpg
