scan_idx,timestamp_unix_s,num_points
190,1773245600.279841,232
191,1773245600.360263,227
192,1773245600.440869,228
193,1773245600.521640,221
194,1773245600.601437,216
195,1773245600.681505,214
196,1773245600.761615,208
197,1773245600.842794,215
198,1773245600.923262,205
199,1773245601.003913,216
200,1773245601.085865,212
201,1773245601.165679,210
202,1773245601.245684,211
203,1773245601.327191,215
204,1773245601.407091,214
205,1773245601.487799,211
206,1773245601.569207,208
207,1773245601.648987,210
208,1773245601.730112,210
209,1773245601.811165,215
210,1773245601.891149,201
211,1773245601.972931,209
212,1773245602.052367,203
213,1773245602.132620,204
214,1773245602.213113,208
215,1773245602.294503,203
216,1773245602.374397,200
217,1773245602.454699,201
218,1773245602.536625,207
219,1773245602.617303,208
220,1773245602.696522,207
221,1773245602.778016,204
222,1773245602.858827,207
223,1773245602.938631,202
224,1773245603.020193,202
225,1773245603.099920,204
226,1773245603.180088,209
227,1773245603.261270,206
228,1773245603.341867,204
229,1773245603.422078,211
230,1773245603.503159,209
231,1773245603.583038,204
232,1773245603.663278,200
233,1773245603.744540,200
234,1773245603.824054,203
235,1773245603.905445,201
236,1773245603.985260,203
237,1773245604.065890,207
238,1773245604.146089,201
239,1773245604.227642,201
240,1773245604.308063,200
241,1773245604.388862,196
242,1773245604.468517,202
243,1773245604.549667,201
244,1773245604.630026,201
245,1773245604.710571,199
246,1773245604.792082,198
247,1773245604.871721,200
248,1773245605.032811,392
249,1773245605.114278,198
250,1773245605.195122,199
251,1773245605.275537,197
252,1773245605.356601,195
253,1773245605.436390,199
254,1773245605.517968,196
255,1773245605.598897,194
256,1773245605.679179,193
257,1773245605.759923,195
258,1773245605.839455,195
259,1773245605.919991,197
260,1773245606.001724,196
261,1773245606.082511,197
262,1773245606.162553,199
263,1773245606.242879,194
264,1773245606.323411,194
265,1773245606.403566,198
266,1773245606.485029,195
267,1773245606.566134,201
268,1773245606.646075,201
269,1773245606.726123,198
270,1773245606.807949,195
271,1773245606.887676,199
272,1773245606.968337,193
273,1773245607.049081,197
274,1773245607.129491,194
275,1773245607.210185,199
276,1773245607.290252,197
277,1773245607.371307,202
278,1773245607.451540,204
279,1773245607.531803,202
280,1773245607.613656,200
281,1773245607.694565,209
282,1773245607.774983,198
283,1773245607.855710,204
284,1773245607.935321,202
285,1773245608.016374,204
286,1773245608.097938,207
287,1773245608.177673,205
288,1773245608.259238,204
289,1773245608.339106,205
290,1773245608.420932,204
291,1773245608.501214,208
292,1773245608.582456,204
293,1773245608.662673,209
294,1773245608.744072,209
295,1773245608.824254,202
296,1773245608.904957,199
297,1773245608.985755,208
298,1773245609.066126,209
299,1773245609.146144,211
300,1773245609.226794,209
301,1773245609.308512,206
302,1773245609.387860,198
303,1773245609.469182,209
304,1773245609.550445,205
305,1773245609.629452,206
306,1773245609.711645,204
307,1773245609.791582,207
308,1773245609.871345,207
309,1773245609.952921,211
310,1773245610.033948,213
311,1773245610.113069,214
312,1773245610.193523,209
313,1773245610.274869,212
314,1773245610.355761,212
315,1773245610.437034,213
316,1773245610.517191,212
317,1773245610.597094,213
318,1773245610.677228,214
319,1773245610.758605,214
320,1773245610.838894,215
321,1773245610.919772,213
322,1773245611.000557,217
323,1773245611.080789,210
324,1773245611.160894,217
325,1773245611.241186,216
326,1773245611.321858,218
327,1773245611.402412,214
328,1773245611.482567,217
329,1773245611.563556,220
330,1773245611.643679,220
331,1773245611.724292,219
332,1773245611.805207,216
333,1773245611.884753,223
334,1773245611.966655,217
335,1773245612.046204,222
336,1773245612.127819,222
337,1773245612.208285,218
338,1773245612.288496,224
339,1773245612.368994,227
340,1773245612.450054,234
