frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
58,1773245586.912333,2026-03-11T16:13:06.912333+00:00,134,1773245586851.662,rgb/frame_000058.jpg
59,1773245586.951106,2026-03-11T16:13:06.951106+00:00,135,1773245586885.487,rgb/frame_000059.jpg
60,1773245586.979366,2026-03-11T16:13:06.979366+00:00,136,1773245586919.309,rgb/frame_000060.jpg
61,1773245587.013904,2026-03-11T16:13:07.013904+00:00,137,1773245586953.128,rgb/frame_000061.jpg
62,1773245587.054085,2026-03-11T16:13:07.054085+00:00,138,1773245586986.944,rgb/frame_000062.jpg
63,1773245587.081485,2026-03-11T16:13:07.081485+00:00,139,1773245587020.758,rgb/frame_000063.jpg
64,1773245587.121434,2026-03-11T16:13:07.121434+00:00,140,1773245587054.567,rgb/frame_000064.jpg
65,1773245587.148675,2026-03-11T16:13:07.148675+00:00,141,1773245587088.443,rgb/frame_000065.jpg
66,1773245587.190974,2026-03-11T16:13:07.190974+00:00,142,1773245587122.379,rgb/frame_000066.jpg
67,1773245587.215813,2026-03-11T16:13:07.215813+00:00,143,1773245587156.337,rgb/frame_000067.jpg
68,1773245587.250167,2026-03-11T16:13:07.250167+00:00,144,1773245587190.295,rgb/frame_000068.jpg
69,1773245587.291171,2026-03-11T16:13:07.291171+00:00,145,1773245587224.252,rgb/frame_000069.jpg
70,1773245587.320062,2026-03-11T16:13:07.320062+00:00,146,1773245587258.211,rgb/frame_000070.jpg
71,1773245587.359915,2026-03-11T16:13:07.359915+00:00,147,1773245587292.168,rgb/frame_000071.jpg
72,1773245587.386963,2026-03-11T16:13:07.386963+00:00,148,1773245587326.127,rgb/frame_000072.jpg
73,1773245587.425775,2026-03-11T16:13:07.425775+00:00,149,1773245587360.086,rgb/frame_000073.jpg
74,1773245587.454497,2026-03-11T16:13:07.454497+00:00,150,1773245587394.044,rgb/frame_000074.jpg
75,1773245587.488968,2026-03-11T16:13:07.488968+00:00,151,1773245587428.003,rgb/frame_000075.jpg
76,1773245587.533222,2026-03-11T16:13:07.533222+00:00,152,1773245587461.963,rgb/frame_000076.jpg
77,1773245587.555330,2026-03-11T16:13:07.555330+00:00,153,1773245587495.921,rgb/frame_000077.jpg
78,1773245587.599180,2026-03-11T16:13:07.599180+00:00,154,1773245587529.881,rgb/frame_000078.jpg
79,1773245587.624473,2026-03-11T16:13:07.624473+00:00,155,1773245587563.840,rgb/frame_000079.jpg
80,1773245587.658359,2026-03-11T16:13:07.658359+00:00,156,1773245587597.800,rgb/frame_000080.jpg
81,1773245587.702003,2026-03-11T16:13:07.702003+00:00,157,1773245587631.760,rgb/frame_000081.jpg
82,1773245587.725921,2026-03-11T16:13:07.725921+00:00,158,1773245587665.720,rgb/frame_000082.jpg
83,1773245587.766881,2026-03-11T16:13:07.766881+00:00,159,1773245587699.681,rgb/frame_000083.jpg
