dataset,experiment,rmse,mean,median,std,min,max,sse
kitti07,1c_nooutlier,5.766045702007783,5.031533373138231,4.746814638475784,2.8161951197739565,1.1315465228726187,14.616968315382307,17720.801859063413
kitti07,1a_baseline,4.392275922268337,4.152627474055791,4.001322853462391,1.4310041366310542,0.21606466866589763,7.970117004024347,21144.128203962635
kitti07,1d_noloop,18.024322969701153,14.688209375186577,13.82506176772521,10.446660895557857,0.675913038274127,49.08647566221253,356064.3354936419
tum,1b_feat800,0.010206034897311428,0.008622722533027994,0.007464613363811938,0.005460018721904712,0.0004240520297797863,0.03481664335244253,0.05999797343527987
tum,1a_baseline,0.009808944114847333,0.008255811234829956,0.0073483165155122385,0.005296882621226714,0.0005506158364547868,0.032478337231978446,0.07225775387079679
tum,1c_nooutlier,0.04816564722555166,0.03252437446132264,0.02149312714233813,0.03552597132459514,0.00502612287926479,0.20723264277313888,1.3525189408586185
tum,1d_noloop,0.011006915594946282,0.009370006456038258,0.008372120698203306,0.005775393486860705,0.000651527737808899,0.03752689658417309,0.06530103090279243
tum,1b_feat1500,0.00993906321526765,0.0083845408655696,0.007436031007226807,0.005337082730357469,0.0004888406131220749,0.03245042928562744,0.07586686279456245
